DATE,NYGDPPCAPKDDEU
1970-01-01,19624.7497590296
1971-01-01,20202.4337430061
1972-01-01,20970.6264326325
1973-01-01,21903.4035074806
1974-01-01,22089.7489661836
1975-01-01,21980.0878897735
1976-01-01,23167.0592614971
1977-01-01,23996.7729121627
1978-01-01,24740.2365269267
1979-01-01,25755.6578068766
1980-01-01,26064.3893139114
1981-01-01,26162.4546274364
1982-01-01,26083.9521450124
1983-01-01,26563.6449361397
1984-01-01,27408.0998134019
1985-01-01,28108.8930128788
1986-01-01,28738.6826117652
1987-01-01,29096.9101849167
1988-01-01,30057.941478281
1989-01-01,30988.589460293
1990-01-01,32337.1010226197
1991-01-01,33742.2192171049
1992-01-01,34130.852397553
1993-01-01,33583.0060357251
1994-01-01,34289.1247492873
1995-01-01,34782.5686253047
1996-01-01,34965.6908864708
1997-01-01,35560.2092859448
1998-01-01,36258.6744317081
1999-01-01,36955.2896071002
2000-01-01,37998.4253119991
2001-01-01,38577.7256293297
2002-01-01,38512.9200411024
2003-01-01,38218.3496455934
2004-01-01,38673.8881132052
2005-01-01,38969.3216980632
2006-01-01,40456.8573802769
2007-01-01,41831.8670883098
2008-01-01,42365.0974955812
2009-01-01,40086.1047594417
2010-01-01,41785.556912554
2011-01-01,44125.3314116503
2012-01-01,44259.2599053983
2013-01-01,44354.7368865267
2014-01-01,45022.5653486423
2015-01-01,45412.5568082313
2016-01-01,45923.0075696152
