DATE,NYGDPPCAPKDESP
1960-01-01,7359.96778939152
1961-01-01,8155.1745418389
1962-01-01,8884.7748093048
1963-01-01,9652.37430604068
1964-01-01,10064.2648062065
1965-01-01,10578.1091452389
1966-01-01,11229.0261865849
1967-01-01,11573.0977644596
1968-01-01,12176.3075593896
1969-01-01,13130.8184215255
1970-01-01,13542.9637099591
1971-01-01,14002.8728529629
1972-01-01,14977.7799033755
1973-01-01,15966.9163340177
1974-01-01,16680.8080703511
1975-01-01,16590.8824112998
1976-01-01,16958.8304429591
1977-01-01,17261.6569978345
1978-01-01,17346.364837735
1979-01-01,17201.2576255766
1980-01-01,17440.5813769605
1981-01-01,17294.1001121271
1982-01-01,17404.8531023933
1983-01-01,17626.8545529956
1984-01-01,17867.0904536737
1985-01-01,18215.7362037429
1986-01-01,18752.2405339532
1987-01-01,19741.1892291472
1988-01-01,20702.9191827874
1989-01-01,21668.2580500099
1990-01-01,22464.7329153987
1991-01-01,22978.1250190017
1992-01-01,23078.3360923639
1993-01-01,22722.1546792394
1994-01-01,23153.1727955438
1995-01-01,23686.843485455
1996-01-01,24219.3275848937
1997-01-01,25007.8943666805
1998-01-01,25977.0009830159
1999-01-01,27032.2207139117
2000-01-01,28335.001833327
2001-01-01,29264.8814529131
2002-01-01,29685.3639494669
2003-01-01,30082.6264787606
2004-01-01,30504.3574306103
2005-01-01,31110.0141282392
2006-01-01,31865.3691666632
2007-01-01,32459.9173758671
2008-01-01,32303.2414806061
2009-01-01,30874.126012677
2010-01-01,30736.6278530812
2011-01-01,30321.7048688993
2012-01-01,29414.8569207405
2013-01-01,29008.0209838975
2014-01-01,29496.378933678
2015-01-01,30532.4499736572
2016-01-01,31505.6122034216
