DATE,NYGDPPCAPKDFRA
1960-01-01,12991.2677157891
1961-01-01,13524.4492898749
1962-01-01,14224.481981772
1963-01-01,14775.0591562818
1964-01-01,15532.6347258984
1965-01-01,16087.9229861581
1966-01-01,16764.2319210598
1967-01-01,17409.9659363379
1968-01-01,18023.8108375959
1969-01-01,19148.5087760733
1970-01-01,20058.6816797054
1971-01-01,20951.6528120921
1972-01-01,21705.1608504203
1973-01-01,22866.7209449323
1974-01-01,23652.7613411661
1975-01-01,23261.1280785167
1976-01-01,24136.1347756493
1977-01-01,24867.5019495597
1978-01-01,25770.5756498831
1979-01-01,26599.3766427339
1980-01-01,26919.1943109963
1981-01-01,27089.3661778818
1982-01-01,27633.2437984653
1983-01-01,27832.1386790419
1984-01-01,28099.0714163019
1985-01-01,28391.8294326453
1986-01-01,28887.9793413264
1987-01-01,29452.1406977034
1988-01-01,30657.6459435035
1989-01-01,31801.8743779472
1990-01-01,32543.9424217428
1991-01-01,32855.9959897504
1992-01-01,33216.0089959065
1993-01-01,32869.7789732528
1994-01-01,33515.7135122261
1995-01-01,34091.167447884
1996-01-01,34442.184394041
1997-01-01,35122.7462838501
1998-01-01,36237.9630044732
1999-01-01,37280.3410691582
2000-01-01,38460.6821008145
2001-01-01,38928.03030647
2002-01-01,39078.198702169
2003-01-01,39120.1961408612
2004-01-01,39915.2645417897
2005-01-01,40252.4182186225
2006-01-01,40922.0832260575
2007-01-01,41630.09373701
2008-01-01,41478.9374058427
2009-01-01,40052.3051204039
2010-01-01,40638.33400426
2011-01-01,41283.1481006903
2012-01-01,41158.8849843807
2013-01-01,41183.510959426
2014-01-01,41374.7612490442
2015-01-01,41642.3104260915
2016-01-01,41968.9815739992
