DATE,NYGDPPCAPKDGBR
1960-01-01,13827.4496385702
1961-01-01,14075.859420582
1962-01-01,14142.2552886594
1963-01-01,14592.1446600407
1964-01-01,15227.9942651415
1965-01-01,15552.4581437103
1966-01-01,15783.9188434693
1967-01-01,16061.9457508235
1968-01-01,16620.8698534702
1969-01-01,16891.6220330513
1970-01-01,17934.1914233533
1971-01-01,18481.7312079758
1972-01-01,19211.5565102857
1973-01-01,20422.4890665009
1974-01-01,19906.8423382162
1975-01-01,19613.8638199645
1976-01-01,20189.6056528455
1977-01-01,20689.6570174983
1978-01-01,21557.8497405212
1979-01-01,22344.3683774667
1980-01-01,21865.1280768345
1981-01-01,21688.9963409869
1982-01-01,22132.9982467986
1983-01-01,23059.570217066
1984-01-01,23547.1646756091
1985-01-01,24479.4254258214
1986-01-01,25185.8304019841
1987-01-01,26465.9950111805
1988-01-01,27925.0812363712
1989-01-01,28568.1265388052
1990-01-01,28691.2928745059
1991-01-01,28291.9219603782
1992-01-01,28321.0345262059
1993-01-01,28967.1550453556
1994-01-01,30014.5813988982
1995-01-01,30674.6055465252
1996-01-01,31373.3411897037
1997-01-01,32556.3166954329
1998-01-01,33480.1660134045
1999-01-01,34442.1070945849
2000-01-01,35576.7668473642
2001-01-01,36341.7097504855
2002-01-01,37077.6483548939
2003-01-01,38132.8410859077
2004-01-01,38813.0216936727
2005-01-01,39740.9029213191
2006-01-01,40418.747304743
2007-01-01,41050.4059264847
2008-01-01,40536.1348574428
2009-01-01,38545.9158164225
2010-01-01,38893.0184937365
2011-01-01,39150.7560185113
2012-01-01,39455.4121361028
2013-01-01,39996.5019019858
2014-01-01,40908.7458550667
2015-01-01,41536.9191150355
2016-01-01,42039.7363643926
