"","x1_department","x2_salary","x3_timecompany","x4_promotion5yr","x5_workaccident","x6_workhours","x7_nprojects","x8_lasteval","x9_satisflevel","y_empleft"
"1","sales","low",3,0,0,157,2,53,38,1
"2","sales","medium",6,0,0,262,5,86,80,1
"3","sales","medium",4,0,0,272,7,88,11,1
"4","sales","low",5,0,0,223,5,87,72,1
"5","sales","low",3,0,0,159,2,52,37,1
"6","sales","low",3,0,0,153,2,50,41,1
"7","sales","low",4,0,0,247,6,77,10,1
"8","sales","low",5,0,0,259,5,85,92,1
"9","sales","low",5,0,0,224,5,100,89,1
"10","sales","low",3,0,0,142,2,53,42,1
"11","sales","low",3,0,0,135,2,54,45,1
"12","sales","low",4,0,0,305,6,81,11,1
"13","sales","low",5,0,0,234,4,92,84,1
"14","sales","low",3,0,0,148,2,55,41,1
"15","sales","low",3,0,0,137,2,56,36,1
"16","sales","low",3,0,0,143,2,54,38,1
"17","sales","low",3,0,0,160,2,47,45,1
"18","sales","low",6,0,0,255,4,99,78,1
"19","sales","low",3,1,1,160,2,51,45,1
"20","sales","low",5,0,0,262,5,89,76,1
"21","sales","low",4,0,0,282,6,83,11,1
"22","sales","low",3,0,0,147,2,55,38,1
"23","sales","low",4,0,0,304,6,95,9,1
"24","sales","low",3,0,0,139,2,57,46,1
"25","sales","low",3,0,0,158,2,53,40,1
"26","sales","low",5,0,0,242,5,92,89,1
"27","sales","low",5,0,0,239,4,87,82,1
"28","sales","low",3,0,0,135,2,49,40,1
"29","accounting","low",3,0,0,128,2,46,41,1
"30","accounting","low",3,0,0,132,2,50,38,1
"31","accounting","low",4,0,0,294,6,62,9,1
"32","hr","low",3,0,0,134,2,57,45,1
"33","hr","low",3,0,0,145,2,51,40,1
"34","hr","low",3,0,0,140,2,55,45,1
"35","hr","low",6,0,0,246,4,87,84,1
"36","technical","low",4,0,0,255,6,94,10,1
"37","technical","low",3,0,0,137,2,46,38,1
"38","technical","low",3,0,0,126,2,50,45,1
"39","technical","low",4,0,0,306,6,89,11,1
"40","technical","low",3,0,0,152,2,54,41,1
"41","technical","low",5,0,0,269,5,88,87,1
"42","technical","low",3,0,0,158,2,48,45,1
"43","technical","low",3,0,0,127,2,46,40,1
"44","technical","low",4,0,0,281,7,80,10,1
"45","technical","low",4,0,0,276,6,89,9,1
"46","technical","low",4,0,0,182,3,74,84,1
"47","support","low",3,0,0,147,2,55,40,1
"48","support","low",6,0,0,273,3,70,57,1
"49","support","low",3,0,0,148,2,54,40,1
"50","support","low",3,0,0,147,2,47,43,1
"51","support","low",2,0,0,152,6,78,13,1
"52","support","low",3,0,0,135,2,55,44,1
"53","support","low",3,0,0,134,2,55,38,1
"54","support","low",3,0,0,132,2,54,39,1
"55","support","low",4,0,0,307,7,92,10,1
"56","support","low",3,0,0,140,2,46,37,1
"57","support","low",4,0,0,255,7,94,11,1
"58","technical","low",4,0,0,309,6,81,10,1
"59","technical","low",3,0,0,128,2,54,38,1
"60","technical","low",5,0,0,225,4,100,85,1
"61","management","medium",5,0,0,226,5,91,85,1
"62","IT","medium",4,0,0,308,7,93,11,1
"63","IT","medium",5,0,0,244,6,95,10,1
"64","IT","medium",3,0,0,132,2,56,36,1
"65","IT","medium",4,0,0,286,6,94,11,1
"66","IT","medium",4,0,0,161,6,70,81,1
"67","product_mng","medium",3,0,0,153,2,54,43,1
"68","product_mng","medium",6,0,0,264,4,98,90,1
"69","product_mng","medium",5,0,1,223,5,86,76,1
"70","product_mng","medium",3,0,0,135,2,50,43,1
"71","IT","medium",3,0,0,277,2,99,74,1
"72","product_mng","medium",4,0,0,275,5,77,9,1
"73","product_mng","high",3,0,0,149,2,49,45,1
"74","product_mng","low",4,0,0,295,7,87,9,1
"75","product_mng","medium",4,0,0,277,6,97,11,1
"76","product_mng","medium",4,0,0,306,7,79,11,1
"77","product_mng","medium",4,0,0,295,6,83,10,1
"78","marketing","medium",3,0,0,137,2,54,40,1
"79","sales","low",3,0,0,157,2,56,43,1
"80","accounting","low",3,0,0,142,2,56,39,1
"81","support","low",3,0,0,140,2,54,45,1
"82","technical","low",3,0,0,151,2,49,38,1
"83","management","low",3,1,0,139,4,59,79,1
"84","marketing","low",6,0,0,249,4,85,84,1
"85","marketing","low",4,0,0,291,6,77,11,1
"86","marketing","low",4,0,0,305,6,87,11,1
"87","sales","low",3,0,0,232,5,84,17,1
